,Single,Pair,Two Pair,Three of a Kind,Full House,Four of a Kind,Yahtzee,Small Straight,Large Straight
Single,0.01846211025556085,0.32405245340034095,0.23046530981602528,0.15490397278757664,0.0391057390095906,0.01956094920293778,0.0007675713235353527,0.17490122569020822,0.037780668514224305
Pair,0.0,0.22463153813366693,0.2776924786427553,0.2775911554291342,0.0927242502251064,0.06942058658034829,0.004658165874206555,0.053281825114782314,0.0
Two Pair,0.0,0.11683521032130952,0.43386722893492363,0.1662716818575592,0.18848552670522178,0.041591144274952634,0.0027360889374728604,0.05021311896856036,0.0
Three of a Kind,0.0,0.0,0.0,0.5560453420922081,0.1384597177143487,0.2776279056194494,0.027867034573993792,0.0,0.0
Full House,0.0,0.0,0.0,0.5549770606732306,0.13907289035517295,0.2781522243414609,0.027797824630135574,0.0,0.0
Four of a Kind,0.0,0.0,0.0,0.0,0.0,0.8321697449657436,0.1678302550342564,0.0,0.0
Yahtzee,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Small Straight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916385404835143,0.20836145951648566
Large Straight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
